variant,algo,env_base,dataset,seed,status,config,run_tag,run_dir,started,finished,eta,notes,updated_at
capo,iql,hopper,medium,0,done,configs/defaults.yaml,capo,results/iql/hopper-medium-v2/s0/0803_0100_capo_iql_hopper-medium-v2_s0,2026-08-03 01:00:45,2026-08-03 01:43:55,,defaults CAPO IQL,2026-08-03 08:49:29
capo,iql,hopper,expert,0,done,configs/defaults.yaml,capo,results/iql/hopper-expert-v2/s0/0803_0143_capo_iql_hopper-expert-v2_s0,2026-08-03 01:43:55,2026-08-03 02:28:46,,done kept; expert superseded by medium-expert queue,2026-08-03 08:49:29
capo,iql,hopper,medium-replay,0,done,configs/defaults.yaml,capo,results/iql/hopper-medium-replay-v2/s0/0803_0228_capo_iql_hopper-medium-replay-v2_s0,2026-08-03 02:28:46,2026-08-03 03:11:22,,defaults CAPO IQL,2026-08-03 08:52:48
capo,iql,hopper,medium-expert,0,queued,configs/defaults.yaml,capo,,,,,replaces expert; after current baseline hopper-expert finishes,2026-08-03 08:49:29
capo,iql,halfcheetah,medium,0,done,configs/defaults.yaml,capo,results/iql/halfcheetah-medium-v2/s0/0803_0311_capo_iql_halfcheetah-medium-v2_s0,2026-08-03 03:11:22,2026-08-03 03:55:15,,defaults CAPO IQL,2026-08-03 08:49:29
capo,iql,halfcheetah,expert,0,done,configs/defaults.yaml,capo,results/iql/halfcheetah-expert-v2/s0/0803_0355_capo_iql_halfcheetah-expert-v2_s0,2026-08-03 03:55:15,2026-08-03 04:39:21,,done kept; expert superseded by medium-expert queue,2026-08-03 08:49:29
capo,iql,halfcheetah,medium-replay,0,done,configs/defaults.yaml,capo,results/iql/halfcheetah-medium-replay-v2/s0/0803_0439_capo_iql_halfcheetah-medium-replay-v2_s0,2026-08-03 04:39:21,2026-08-03 05:23:21,,defaults CAPO IQL,2026-08-03 08:52:48
capo,iql,halfcheetah,medium-expert,0,queued,configs/defaults.yaml,capo,,,,,replaces expert; after current baseline hopper-expert finishes,2026-08-03 08:49:29
capo,iql,walker2d,medium,0,done,configs/defaults.yaml,capo,results/iql/walker2d-medium-v2/s0/0803_0523_capo_iql_walker2d-medium-v2_s0,2026-08-03 05:23:21,2026-08-03 06:10:10,,defaults CAPO IQL,2026-08-03 08:49:29
capo,iql,walker2d,expert,0,done,configs/defaults.yaml,capo,results/iql/walker2d-expert-v2/s0/0803_0610_capo_iql_walker2d-expert-v2_s0,2026-08-03 06:10:10,2026-08-03 06:57:45,,done kept; expert superseded by medium-expert queue,2026-08-03 08:49:29
capo,iql,walker2d,medium-replay,0,done,configs/defaults.yaml,capo,results/iql/walker2d-medium-replay-v2/s0/0803_0657_capo_iql_walker2d-medium-replay-v2_s0,2026-08-03 06:57:45,2026-08-03 07:41:48,,defaults CAPO IQL,2026-08-03 08:52:48
capo,iql,walker2d,medium-expert,0,queued,configs/defaults.yaml,capo,,,,,replaces expert; after current baseline hopper-expert finishes,2026-08-03 08:49:29
