variant,algo,env_base,dataset,seed,status,config,run_tag,run_dir,started,finished,eta,notes,updated_at
capo,cql,hopper,medium,0,running,configs/defaults.yaml,capo,results/hopper-medium-v2/s0/0803_0021_capo_cql_hopper-medium-v2_s0,2026-08-03 00:21:00,,~45min/cell; ~14h for full 18-cell CQL matrix,live matrix on svcho GPU0; results/queue_cql.pid; scripts/run_matrix_cql.sh,2026-08-03 00:23:30
capo,cql,hopper,expert,0,queued,configs/defaults.yaml,capo,,,,,after hopper-medium capo,2026-08-03 00:23:00
capo,cql,hopper,replay,0,queued,configs/defaults.yaml,capo,,,,,after hopper-expert capo,2026-08-03 00:23:00
capo,cql,halfcheetah,medium,0,queued,configs/defaults.yaml,capo,,,,,after hopper block capo,2026-08-03 00:23:00
capo,cql,halfcheetah,expert,0,queued,configs/defaults.yaml,capo,,,,,,2026-08-03 00:23:00
capo,cql,halfcheetah,replay,0,queued,configs/defaults.yaml,capo,,,,,,2026-08-03 00:23:00
capo,cql,walker2d,medium,0,queued,configs/defaults.yaml,capo,,,,,,2026-08-03 00:23:00
capo,cql,walker2d,expert,0,queued,configs/defaults.yaml,capo,,,,,,2026-08-03 00:23:00
capo,cql,walker2d,replay,0,queued,configs/defaults.yaml,capo,,,,,,2026-08-03 00:23:00
baseline,cql,hopper,medium,0,queued,configs/baseline_cql.yaml,baseline,,,,,after all 9 capo cells; use_capo=false n_critics=4,2026-08-03 00:23:00
baseline,cql,hopper,expert,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
baseline,cql,hopper,replay,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
baseline,cql,halfcheetah,medium,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
baseline,cql,halfcheetah,expert,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
baseline,cql,halfcheetah,replay,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
baseline,cql,walker2d,medium,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
baseline,cql,walker2d,expert,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
baseline,cql,walker2d,replay,0,queued,configs/baseline_cql.yaml,baseline,,,,,,2026-08-03 00:23:00
